Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.0293315562190862,0.094969509489505,-0.000210777700230468,0,0,0,0.589788647197602,0.000857384689929872,-5.76364539440715E-08,2.10258185028542E-07,0.00203887056965017,3.44835587656762E-07,0.00124222656222317,0,0,0,0,0,0,package://UiRS.1 - Object Transpot Robot Arm.SLDASM/meshes/base_link.STL,0.698039215686274,0.698039215686274,0.698039215686274,1,0,0,0,0,0,0,package://UiRS.1 - Object Transpot Robot Arm.SLDASM/meshes/base_link.STL,,robot^UiRS.1 - Object Transpot Robot Arm-1/[Fix 7] 1.Rev - Casis Samping Tambahan 2 mm-2;robot^UiRS.1 - Object Transpot Robot Arm-1/[Fix 7] 1.Rev - Casis Samping Utama-1;robot^UiRS.1 - Object Transpot Robot Arm-1/[Fix 7] 1.Rev - Casis Depan Belakang-1;robot^UiRS.1 - Object Transpot Robot Arm-1/[Fix 7] 1.Rev - Lipo Case Link-4;robot^UiRS.1 - Object Transpot Robot Arm-1/[Fix 7] 1.Rev - Lipo Case Base-1;robot^UiRS.1 - Object Transpot Robot Arm-1/[Fix 7] 1.Rev - Casis Base Servo-1;robot^UiRS.1 - Object Transpot Robot Arm-1/[Fix 7] 1.Rev - Casis Link to Body-1;robot^UiRS.1 - Object Transpot Robot Arm-1/[unv] Spacer Logam 25 mm-2;robot^UiRS.1 - Object Transpot Robot Arm-1/[unv] Spacer Logam 25 mm-1;robot^UiRS.1 - Object Transpot Robot Arm-1/[Fix 7] 1.Rev - Casis Link to Body-2;robot^UiRS.1 - Object Transpot Robot Arm-1/[Fix 7] 1.Rev - Lipo Case Link-1;robot^UiRS.1 - Object Transpot Robot Arm-1/[Fix 7] 1.Rev - Casis Link Samping to Depan-1;robot^UiRS.1 - Object Transpot Robot Arm-1/[unv] Spacer Logam 25 mm-3;robot^UiRS.1 - Object Transpot Robot Arm-1/[Fix 7] 1.Rev - Casis Depan Belakang-2;robot^UiRS.1 - Object Transpot Robot Arm-1/[Fix 7] 1.Rev - Lipo Case Base-2;robot^UiRS.1 - Object Transpot Robot Arm-1/[Fix 7] 1.Rev - Lipo Case Link-3;robot^UiRS.1 - Object Transpot Robot Arm-1/[Fix 7] 1.Rev - Lipo Case Link-2;robot^UiRS.1 - Object Transpot Robot Arm-1/[Fix 7] 1.Rev.1 - Assem2-1/[Fix 7] 1.Rev - Body Base-1;robot^UiRS.1 - Object Transpot Robot Arm-1/[Fix 7] 1.Rev.1 - Assem2-1/[Fix 7] 1.Rev - Body Back-1;robot^UiRS.1 - Object Transpot Robot Arm-1/[Fix 7] 1.Rev.1 - Assem2-1/[Fix 7] 1.Rev - Body Samping-2;robot^UiRS.1 - Object Transpot Robot Arm-1/[Fix 7] 1.Rev.1 - Assem2-1/[Fix 7] 1.Rev - Body Upper-1;robot^UiRS.1 - Object Transpot Robot Arm-1/[Fix 7] 1.Rev.1 - Assem2-1/[Fix 7] 1.Rev - Body 45 Degree-2;robot^UiRS.1 - Object Transpot Robot Arm-1/[Fix 7] 1.Rev.1 - Assem2-1/[Fix 7] 1.Rev - Body Front-1;robot^UiRS.1 - Object Transpot Robot Arm-1/[Fix 7] 1.Rev.1 - Assem2-1/[Fix 7] 1.Rev - Body 45 Degree-1;robot^UiRS.1 - Object Transpot Robot Arm-1/[Fix 7] 1.Rev.1 - Assem2-1/[Fix 7] 1.Rev - Body Samping-1;robot^UiRS.1 - Object Transpot Robot Arm-1/cameraholder-1;robot^UiRS.1 - Object Transpot Robot Arm-1/cameraholder2-1;robot^UiRS.1 - Object Transpot Robot Arm-1/[Fix 7] 1.Rev - Casis Samping Tambahan 2 mm-1;robot^UiRS.1 - Object Transpot Robot Arm-1/[Fix 7] 1.Rev - Casis Samping Utama-2;robot^UiRS.1 - Object Transpot Robot Arm-1/[Fix 7] 1.Rev - Casis Link Samping to Depan-4;robot^UiRS.1 - Object Transpot Robot Arm-1/[unv] Spacer Logam 25 mm-4,base_link,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
linnk1,-0.0625201936088106,0.0302619197991424,0.0891215724157588,0,0,0,0.0442264098289709,5.17316724087004E-06,-1.47468209014136E-08,1.05539524185654E-09,5.16260749137017E-06,-2.04430239636885E-09,7.99429447666619E-06,0,0,0,0,0,0,package://UiRS.1 - Object Transpot Robot Arm.SLDASM/meshes/linnk1.STL,1,1,0.501960784313725,1,0,0,0,0,0,0,package://UiRS.1 - Object Transpot Robot Arm.SLDASM/meshes/linnk1.STL,,Omni_Wheel_12mm_Hex_Mod1-1/Omni wheel v9-1,base_link,front_left_wheel_axis,front_left_wheel_joint,continuous,0,0,0,0,0,0,base_link,0,0,-1,,,,,,,,,,,,
link2,0.0624798056835113,0.0302619115561582,0.0891215755350853,0,0,0,0.0442264220442005,5.17316916368769E-06,-1.47472207319849E-08,1.05524390218674E-09,5.16261098812225E-06,-2.04496811895379E-09,7.99429989910793E-06,0,0,0,0,0,0,package://UiRS.1 - Object Transpot Robot Arm.SLDASM/meshes/link2.STL,1,1,0.501960784313725,1,0,0,0,0,0,0,package://UiRS.1 - Object Transpot Robot Arm.SLDASM/meshes/link2.STL,,Omni_Wheel_12mm_Hex_Mod1-2/Omni wheel v9-1,base_link,back_left_wheel_axis,back_left_wheel_joint,continuous,0,0,0,0,0,0,base_link,0,0,-1,,,,,,,,,,,,
link3,-0.0625923325312005,0.0302514924005309,-0.089410448125923,0,0,0,0.0442264207947984,5.16431474919998E-06,1.52496784687136E-08,4.33208378061226E-10,5.17146403065207E-06,2.25972928411295E-09,7.99429828677473E-06,0,0,0,0,0,0,package://UiRS.1 - Object Transpot Robot Arm.SLDASM/meshes/link3.STL,1,1,0.501960784313725,1,0,0,0,0,0,0,package://UiRS.1 - Object Transpot Robot Arm.SLDASM/meshes/link3.STL,,Omni_Wheel_12mm_Hex_Mod1-4/Omni wheel v9-1,base_link,front_right_wheel_axis,front_right_wheel_joint,continuous,0,0,0,0,0,0,base_link,0,0,1,,,,,,,,,,,,
link4,0.0624076669644467,0.030251497542317,-0.0894104477152602,0,0,0,0.0442264202553307,5.16431496983582E-06,1.5250364955057E-08,4.33278276433825E-10,5.17146367860326E-06,2.25971504468733E-09,7.99429810781775E-06,0,0,0,0,0,0,package://UiRS.1 - Object Transpot Robot Arm.SLDASM/meshes/link4.STL,1,1,0.501960784313725,1,0,0,0,0,0,0,package://UiRS.1 - Object Transpot Robot Arm.SLDASM/meshes/link4.STL,,Omni_Wheel_12mm_Hex_Mod1-3/Omni wheel v9-1,base_link,back_right_wheel_axis,back_right_wheel_joint,continuous,0,0,0,0,0,0,base_link,0,0,1,,,,,,,,,,,,
